"compound","n_matrix","n_H2O","mass","M+H","M+Na","M+K","M+NH4"
"1 CHCA",1,0,189.042593137,190.049868172,212.031810837,228.005750537,207.076417279
"1 CHCA-H2O",1,1,171.032028437,172.039303472,194.021246137,209.995185837,189.065852579
"2 CHCA",2,0,378.085186274,379.092461309,401.074403974,417.048343674,396.119010416
"2 CHCA-H2O",2,1,360.074621574,361.081896609,383.063839274,399.037778974,378.108445716
"2 CHCA-2H2O",2,2,342.064056874,343.071331909,365.053274574,381.027214274,360.097881016
"3 CHCA",3,0,567.127779411,568.135054446,590.116997111,606.090936811,585.161603553
"3 CHCA-H2O",3,1,549.117214711,550.124489746,572.106432411,588.080372111,567.151038853
"3 CHCA-2H2O",3,2,531.106650011,532.113925046,554.095867711,570.069807411,549.140474153
"3 CHCA-3H2O",3,3,513.096085311,514.103360346,536.085303011,552.059242711,531.129909453
"4 CHCA",4,0,756.170372548,757.177647583,779.159590248,795.133529948,774.20419669
"4 CHCA-H2O",4,1,738.159807848,739.167082883,761.149025548,777.122965248,756.19363199
"4 CHCA-2H2O",4,2,720.149243148,721.156518183,743.138460848,759.112400548,738.18306729
"4 CHCA-3H2O",4,3,702.138678448,703.145953483,725.127896148,741.101835848,720.17250259
"4 CHCA-4H2O",4,4,684.128113748,685.135388783,707.117331448,723.091271148,702.16193789
"5 CHCA",5,0,945.212965685,946.22024072,968.202183385,984.176123085,963.246789827
"5 CHCA-H2O",5,1,927.202400985,928.20967602,950.191618685,966.165558385,945.236225127
"5 CHCA-2H2O",5,2,909.191836285,910.19911132,932.181053985,948.154993685,927.225660427
"5 CHCA-3H2O",5,3,891.181271585,892.18854662,914.170489285,930.144428985,909.215095727
"5 CHCA-4H2O",5,4,873.170706885,874.17798192,896.159924585,912.133864285,891.204531027
"5 CHCA-5H2O",5,5,855.160142185,856.16741722,878.149359885,894.123299585,873.193966327
"6 CHCA",6,0,1134.255558822,1135.262833857,1157.244776522,1173.218716222,1152.289382964
"6 CHCA-H2O",6,1,1116.244994122,1117.252269157,1139.234211822,1155.208151522,1134.278818264
"6 CHCA-2H2O",6,2,1098.234429422,1099.241704457,1121.223647122,1137.197586822,1116.268253564
"6 CHCA-3H2O",6,3,1080.223864722,1081.231139757,1103.213082422,1119.187022122,1098.257688864
"6 CHCA-4H2O",6,4,1062.213300022,1063.220575057,1085.202517722,1101.176457422,1080.247124164
"6 CHCA-5H2O",6,5,1044.202735322,1045.210010357,1067.191953022,1083.165892722,1062.236559464
"6 CHCA-6H2O",6,6,1026.192170622,1027.199445657,1049.181388322,1065.155328022,1044.225994764
"7 CHCA",7,0,1323.298151959,1324.305426994,1346.287369659,1362.261309359,1341.331976101
"7 CHCA-H2O",7,1,1305.287587259,1306.294862294,1328.276804959,1344.250744659,1323.321411401
"7 CHCA-2H2O",7,2,1287.277022559,1288.284297594,1310.266240259,1326.240179959,1305.310846701
"7 CHCA-3H2O",7,3,1269.266457859,1270.273732894,1292.255675559,1308.229615259,1287.300282001
"7 CHCA-4H2O",7,4,1251.255893159,1252.263168194,1274.245110859,1290.219050559,1269.289717301
"7 CHCA-5H2O",7,5,1233.245328459,1234.252603494,1256.234546159,1272.208485859,1251.279152601
"7 CHCA-6H2O",7,6,1215.234763759,1216.242038794,1238.223981459,1254.197921159,1233.268587901
"7 CHCA-7H2O",7,7,1197.224199059,1198.231474094,1220.213416759,1236.187356459,1215.258023201
"8 CHCA",8,0,1512.340745096,1513.348020131,1535.329962796,1551.303902496,1530.374569238
"8 CHCA-H2O",8,1,1494.330180396,1495.337455431,1517.319398096,1533.293337796,1512.364004538
"8 CHCA-2H2O",8,2,1476.319615696,1477.326890731,1499.308833396,1515.282773096,1494.353439838
"8 CHCA-3H2O",8,3,1458.309050996,1459.316326031,1481.298268696,1497.272208396,1476.342875138
"8 CHCA-4H2O",8,4,1440.298486296,1441.305761331,1463.287703996,1479.261643696,1458.332310438
"8 CHCA-5H2O",8,5,1422.287921596,1423.295196631,1445.277139296,1461.251078996,1440.321745738
"8 CHCA-6H2O",8,6,1404.277356896,1405.284631931,1427.266574596,1443.240514296,1422.311181038
"8 CHCA-7H2O",8,7,1386.266792196,1387.274067231,1409.256009896,1425.229949596,1404.300616338
"8 CHCA-8H2O",8,8,1368.256227496,1369.263502531,1391.245445196,1407.219384896,1386.290051638
