"compound","n_matrix","n_H2O","mass","M+H","M+Na","M+K","M+NH4"
"1 DHB",1,0,154.02660873,155.033883765,177.01582643,192.98976613,172.060432872
"1 DHB-H2O",1,1,136.01604403,137.023319065,159.00526173,174.97920143,154.049868172
"2 DHB",2,0,308.05321746,309.060492495,331.04243516,347.01637486,326.087041602
"2 DHB-H2O",2,1,290.04265276,291.049927795,313.03187046,329.00581016,308.076476902
"2 DHB-2H2O",2,2,272.03208806,273.039363095,295.02130576,310.99524546,290.065912202
"3 DHB",3,0,462.07982619,463.087101225,485.06904389,501.04298359,480.113650332
"3 DHB-H2O",3,1,444.06926149,445.076536525,467.05847919,483.03241889,462.103085632
"3 DHB-2H2O",3,2,426.05869679,427.065971825,449.04791449,465.02185419,444.092520932
"3 DHB-3H2O",3,3,408.04813209,409.055407125,431.03734979,447.01128949,426.081956232
"4 DHB",4,0,616.10643492,617.113709955,639.09565262,655.06959232,634.140259062
"4 DHB-H2O",4,1,598.09587022,599.103145255,621.08508792,637.05902762,616.129694362
"4 DHB-2H2O",4,2,580.08530552,581.092580555,603.07452322,619.04846292,598.119129662
"4 DHB-3H2O",4,3,562.07474082,563.082015855,585.06395852,601.03789822,580.108564962
"4 DHB-4H2O",4,4,544.06417612,545.071451155,567.05339382,583.02733352,562.098000262
"5 DHB",5,0,770.13304365,771.140318685,793.12226135,809.09620105,788.166867792
"5 DHB-H2O",5,1,752.12247895,753.129753985,775.11169665,791.08563635,770.156303092
"5 DHB-2H2O",5,2,734.11191425,735.119189285,757.10113195,773.07507165,752.145738392
"5 DHB-3H2O",5,3,716.10134955,717.108624585,739.09056725,755.06450695,734.135173692
"5 DHB-4H2O",5,4,698.09078485,699.098059885,721.08000255,737.05394225,716.124608992
"5 DHB-5H2O",5,5,680.08022015,681.087495185,703.06943785,719.04337755,698.114044292
"6 DHB",6,0,924.15965238,925.166927415,947.14887008,963.12280978,942.193476522
"6 DHB-H2O",6,1,906.14908768,907.156362715,929.13830538,945.11224508,924.182911822
"6 DHB-2H2O",6,2,888.13852298,889.145798015,911.12774068,927.10168038,906.172347122
"6 DHB-3H2O",6,3,870.12795828,871.135233315,893.11717598,909.09111568,888.161782422
"6 DHB-4H2O",6,4,852.11739358,853.124668615,875.10661128,891.08055098,870.151217722
"6 DHB-5H2O",6,5,834.10682888,835.114103915,857.09604658,873.06998628,852.140653022
"6 DHB-6H2O",6,6,816.09626418,817.103539215,839.08548188,855.05942158,834.130088322
"7 DHB",7,0,1078.18626111,1079.193536145,1101.17547881,1117.14941851,1096.220085252
"7 DHB-H2O",7,1,1060.17569641,1061.182971445,1083.16491411,1099.13885381,1078.209520552
"7 DHB-2H2O",7,2,1042.16513171,1043.172406745,1065.15434941,1081.12828911,1060.198955852
"7 DHB-3H2O",7,3,1024.15456701,1025.161842045,1047.14378471,1063.11772441,1042.188391152
"7 DHB-4H2O",7,4,1006.14400231,1007.151277345,1029.13322001,1045.10715971,1024.177826452
"7 DHB-5H2O",7,5,988.13343761,989.140712645,1011.12265531,1027.09659501,1006.167261752
"7 DHB-6H2O",7,6,970.12287291,971.130147945,993.11209061,1009.08603031,988.156697052
"7 DHB-7H2O",7,7,952.11230821,953.119583245,975.10152591,991.07546561,970.146132352
"8 DHB",8,0,1232.21286984,1233.220144875,1255.20208754,1271.17602724,1250.246693982
"8 DHB-H2O",8,1,1214.20230514,1215.209580175,1237.19152284,1253.16546254,1232.236129282
"8 DHB-2H2O",8,2,1196.19174044,1197.199015475,1219.18095814,1235.15489784,1214.225564582
"8 DHB-3H2O",8,3,1178.18117574,1179.188450775,1201.17039344,1217.14433314,1196.214999882
"8 DHB-4H2O",8,4,1160.17061104,1161.177886075,1183.15982874,1199.13376844,1178.204435182
"8 DHB-5H2O",8,5,1142.16004634,1143.167321375,1165.14926404,1181.12320374,1160.193870482
"8 DHB-6H2O",8,6,1124.14948164,1125.156756675,1147.13869934,1163.11263904,1142.183305782
"8 DHB-7H2O",8,7,1106.13891694,1107.146191975,1129.12813464,1145.10207434,1124.172741082
"8 DHB-8H2O",8,8,1088.12835224,1089.135627275,1111.11756994,1127.09150964,1106.162176382
